premise	hypothesis	us_ratings	in_ratings
But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.	Because all of the seats were stolen, they had to eat off the floor.	['C', 'C', 'C', 'C', 'N']	['E', 'C', 'N', 'C', 'C']
But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.	They were allowed to eat on the floor of a restaurant.	['E', 'E', 'E', 'E', 'E']	['E', 'N', 'N', 'N', 'N']
But they persevered, she said, firm and optimistic in their search, until they were finally allowed by a packed restaurant to eat their dinner off the floor.	They were seated at a table that they could eat at.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'N']
His plan was to drive straight up to the house.	Driving directly to the house was no longer an option with the roadblock.	['N', 'C', 'N', 'N', 'N']	['N', 'N', 'C', 'C', 'N']
His plan was to drive straight up to the house.	He had intended to drive directly up to the house.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
His plan was to drive straight up to the house.	He had planned to drive a block away from the house and slowly creep up.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
Should we invite these young wealthies back to our comparatively humble, small home?	The wealthies' have a much larger home than us.	['E', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'E']
Should we invite these young wealthies back to our comparatively humble, small home?	Our home is full of love and pets.	['N', 'N', 'C', 'C', 'N']	['N', 'N', 'C', 'E', 'C']
Should we invite these young wealthies back to our comparatively humble, small home?	Our home is small and humble, compared to that of wealthies.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'N']
She wears either revealing clothes or professional clothes (or perhaps both).	Sometimes her cleavage is showing and sometimes she's all covered up.	['N', 'N', 'N', 'E', 'E', 'C', 'E']	['N', 'N', 'E', 'N', 'N']
She wears either revealing clothes or professional clothes (or perhaps both).	Her clothes are either provocative or conservative.	['E', 'N', 'E', 'E', 'E', 'C', 'E']	['N', 'E', 'N', 'N', 'N']
She wears either revealing clothes or professional clothes (or perhaps both).	She only wears short skirts.	['C', 'E', 'C', 'C', 'C', 'C', 'C']	['C', 'N', 'C', 'C', 'N']
Nowadays it is bordered by ancient columns and lined with expensive shops.	The shops have only been around for the last fifty years.	['N', 'N', 'N', 'N', 'N']	['N', 'C', 'N', 'N']
Nowadays it is bordered by ancient columns and lined with expensive shops.	It's surrounded by columns, but there are no shops around.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C']
Some of the unmet needs are among people who can pay, but who are deterred from seeking a lawyer because of the uncertainty about legal fees and their fear of the profession.	Some people can't afford it.	['N', 'N', 'N', 'E', 'C']	['N', 'E', 'E', 'E', 'C']
Some of the unmet needs are among people who can pay, but who are deterred from seeking a lawyer because of the uncertainty about legal fees and their fear of the profession.	Everyone involved has plenty of money.	['N', 'N', 'C', 'N', 'C']	['C', 'C', 'C', 'C', 'N']
Some of the unmet needs are among people who can pay, but who are deterred from seeking a lawyer because of the uncertainty about legal fees and their fear of the profession.	Some people can afford it but don't understand what to do.	['E', 'E', 'E', 'C', 'E']	['E', 'N', 'N', 'N', 'E']
The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses.	The author began with a set of theories about the ways in which agency management can go right.	['C', 'C', 'N', 'C', 'C', 'N', 'C', 'C']	['E', 'E', 'N', 'C', 'E', 'C', 'C']
The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses.	The author had several theories about the ways in which agency management can go awry	['E', 'E', 'E', 'E', 'N', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'C', 'E', 'E']
The author began with a set of hunches or hypotheses about what can go wrong in agency management, and what would be evidence supporting-or contradicting-these hypotheses.	The hunches provided by the author weren't realistic as it pertains to agency management.	['N', 'C', 'N', 'N', 'C', 'N', 'N', 'N']	['C', 'C', 'C', 'C', 'C', 'C', 'C']
I have nothing particularly adverse to say about the book.	The book was well written and was a pleasant read all around.	['E', 'N', 'E', 'N', 'N']	['E', 'N', 'E', 'E']
I have nothing particularly adverse to say about the book.	The book is the worst book ever written.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C']
I have nothing particularly adverse to say about the book.	The book has some problems.	['C', 'C', 'N', 'C', 'C']	['C', 'C', 'C', 'N']
He said he had not heard any prior discussion on the subject with the President.	The President was talking about other things to him.	['C', 'N', 'N', 'N', 'C', 'N', 'N']	['E', 'N', 'E', 'E', 'N', 'C']
He said he had not heard any prior discussion on the subject with the President.	The President had never had any prior discussion on the subject with anyone.	['E', 'C', 'E', 'N', 'E', 'N', 'N']	['C', 'N', 'E', 'C', 'N', 'C']
He said he had not heard any prior discussion on the subject with the President.	The President had had prior discussion on the subject with him.	['C', 'C', 'C', 'N', 'N', 'C', 'N']	['E', 'C', 'C', 'C', 'N', 'E']
With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.	It would take years of practice to be able to jump off a rock.	['C', 'N', 'C', 'C', 'N', 'N', 'C']	['C', 'C', 'C', 'C', 'N', 'C']
With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.	Practicing lets you do anything you put your mind to, like flipping off a rock.	['N', 'N', 'E', 'E', 'E', 'N', 'N']	['E', 'E', 'E', 'N', 'C', 'N']
With a little practice almost anyone can flip off to an interesting rock formation and watch the multi-coloured fish pass in review.	If you practice just a bit, you'd be able to somersault off a rock.	['N', 'N', 'N', 'N', 'N', 'N', 'E']	['N', 'C', 'N', 'C', 'N', 'N']
The new rights are nice enough	Everyone really likes the newest benefits	['N', 'N', 'N', 'E', 'N']	['E', 'E', 'N', 'N']
The new rights are nice enough	The latest privileges are adequate	['E', 'N', 'E', 'E', 'E']	['N', 'E', 'E', 'N']
The new rights are nice enough	In all honesty, the rights recently put in place are nowhere near enough	['C', 'C', 'C', 'N', 'C']	['C', 'E', 'C', 'N']
The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.	The Tamils' bhakti movement froze the previously warm ritual of Hinduism.	['C', 'C', 'C', 'E', 'C']	['N', 'N', 'C', 'C', 'N']
The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.	Until that time Hinduism had been rigid and cold.	['N', 'C', 'E', 'N', 'E']	['N', 'E', 'C', 'E', 'N']
The bhakti movement of the Tamils brought a new warmth to the hitherto rigid Brahmanic ritual of Hinduism.	Many were sad to see the Brahmanic ritual change.	['N', 'C', 'C', 'C', 'N']	['C', 'N', 'N', 'C', 'C']
We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful, which can be obvious for most of the people here.	['C', 'N', 'N', 'E', 'N', 'E']	['E', 'E', 'N', 'N', 'N']
We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their processes are successful.	['E', 'N', 'E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'N']
We also have found that leading organizations strive to ensure that their core processes efficiently and effectively support mission-related outcomes.	Leading organizations want to be sure their employees are safe.	['C', 'C', 'C', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
Sorry but that's how it is.	While one is apologetic about it, there is nothing that can be done.	['E', 'E', 'E', 'E', 'E', 'E']	['E', 'N', 'E', 'N', 'E']
Sorry but that's how it is.	Sorry, but there are changes that need to be made.	['C', 'N', 'N', 'N', 'N', 'N']	['N', 'N', 'C', 'E', 'C']
Sorry but that's how it is.	This is how things are and there are no apologies about it.	['C', 'C', 'C', 'C', 'N', 'C']	['N', 'C', 'C', 'N', 'E']
He was of two minds, one reveled in the peace of this village.	The village was full of violence.	['C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
He was of two minds, one reveled in the peace of this village.	He loved the smiling villagers who loved each other.	['N', 'C', 'E', 'N']	['N', 'N', 'N', 'N', 'E']
He was of two minds, one reveled in the peace of this village.	He loved how peaceful the village was.	['E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.	It's impossible to have a plate hand-painted to your own design in Hong Kong.	['C', 'C', 'C', 'C', 'N', 'C']	['C', 'C', 'N', 'C', 'C']
In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.	Hong Kong has a few unique dining experiences.	['C', 'E', 'N', 'C', 'E', 'C']	['N', 'E', 'N', 'E', 'E']
In Hong Kong you can have a plate, or even a whole dinner service, hand-painted to your own design.	You can design your own plate or whole dinner service in Hong Kong.	['E', 'E', 'E', 'E', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to an idea.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
What's truly striking, though, is that Jobs has never really let this idea go.	Jobs never held onto an idea for long.	['C', 'C', 'C', 'C', 'C']	['C', 'C', 'N', 'C', 'C']
What's truly striking, though, is that Jobs has never really let this idea go.	Jobs clung to the idea of expanding at all costs.	['C', 'N', 'N', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
In the stock market, however, the damage can get much worse.	The damage to the stock market can get much worse when prices increase.	['N', 'C', 'N', 'E', 'N', 'E']	['N', 'N', 'N', 'C', 'C']
In the stock market, however, the damage can get much worse.	There is no damage to be done in the stock market.	['C', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
In the stock market, however, the damage can get much worse.	The stock market can experience much worse damage.	['E', 'E', 'E', 'N', 'N', 'E']	['E', 'E', 'E', 'E', 'E']
From the corner of his eye he saw Jamus look over the broken mare.	Jamus looked over the mare.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'N', 'E', 'N']
From the corner of his eye he saw Jamus look over the broken mare.	Jamus was blinded by the sandstorm.	['N', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'N', 'C']
From the corner of his eye he saw Jamus look over the broken mare.	Jamus saw the wounded warriors over the mare.	['N', 'N', 'N', 'N', 'C']	['C', 'C', 'N', 'N', 'N']
The entire city was surrounded by open countryside with a scattering of small villages.	The whole countryside is scattered with small villages.	['E', 'N', 'E', 'C', 'N']	['E', 'E', 'E', 'N', 'E']
The entire city was surrounded by open countryside with a scattering of small villages.	There is only one large village in the countryside.	['C', 'N', 'C', 'C', 'N']	['C', 'C', 'N', 'N', 'N']
The entire city was surrounded by open countryside with a scattering of small villages.	The countryside is very lovely and peaceful.	['N', 'N', 'E', 'N', 'N']	['N', 'N', 'N', 'N', 'N']
Isn't a woman's body her most personal property?	Women's bodies are not their own property.	['N', 'C', 'C', 'C', 'C']	['N', 'C', 'C', 'C', 'C']
Isn't a woman's body her most personal property?	Women's bodies belong to themselves, they should decide what to do with it.	['C', 'E', 'E', 'E', 'E']	['N', 'E', 'E', 'E', 'E']
Isn't a woman's body her most personal property?	Isn't a woman's body sacred property?	['E', 'N', 'N', 'N', 'E']	['C', 'N', 'N', 'C', 'E']
Boats in daily use lie within feet of the fashionable bars and restaurants.	The boats and ships always stay far from bars and restaurants, don't they?	['C', 'C', 'C', 'N', 'C']	['C', 'C', 'C', 'N', 'C']
Boats in daily use lie within feet of the fashionable bars and restaurants.	Bars and restaurants are interesting places.	['N', 'N', 'N', 'N', 'C']	['N', 'N', 'E', 'N', 'N']
Boats in daily use lie within feet of the fashionable bars and restaurants.	There are boats close to bars and restaurants.	['E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'N', 'N']
While parents may pick up this gay semaphore, kids aren't likely to.	Kids aren't likely to recognize gay signals, but some parents do.	['N', 'E', 'N', 'E', 'E', 'E', 'N']	['E', 'E', 'N', 'E', 'E']
While parents may pick up this gay semaphore, kids aren't likely to.	Gay kids always recognize gay signals.	['C', 'N', 'C', 'C', 'C', 'C', 'N']	['C', 'N', 'C', 'C', 'C']
While parents may pick up this gay semaphore, kids aren't likely to.	Some kids do understand gay signals.	['N', 'N', 'C', 'N', 'E', 'E', 'N']	['N', 'C', 'E', 'N', 'N']
To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.	The gate to the Hippodrome is an example of the architect's skill.	['E', 'E', 'N', 'E', 'E', 'E', 'E', 'E']	['E', 'E', 'E', 'E', 'E']
To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.	The architect lacked any notable skill.	['C', 'C', 'N', 'C', 'C', 'C', 'C', 'C']	['C', 'C', 'C', 'C', 'C']
To savour the full effect of the architect's skill, enter the courtyard through the gate which opens onto the Hippodrome.	My family will take your advice as we tour the Hippodrome.	['N', 'N', 'C', 'N', 'N', 'C', 'E', 'N']	['N', 'N', 'N', 'C', 'N']
They consolidated programs to increase efficiency and deploy resources more effectively	Programs to increase efficiency were consolidated.	['E', 'E', 'N', 'E', 'E']	['E', 'E', 'N', 'E', 'C']
